Model,Epoch,Validation Accuracy,Validation Loss,Train Accuracy,Train Loss
MobileNetV2,1,0.03475265949964523,4.897403717041016,0.0144916120916605,5.163016319274902
MobileNetV2,2,0.08797745406627655,4.503676414489746,0.04245097190141678,4.801896095275879
MobileNetV2,3,0.1462116539478302,4.059830188751221,0.08986374735832214,4.407179355621338
MobileNetV2,4,0.20256730914115906,3.75024151802063,0.1350712776184082,4.052726745605469
MobileNetV2,5,0.22479648888111115,3.5398309230804443,0.17618335783481598,3.7492311000823975
MobileNetV2,6,0.2485911101102829,3.3843023777008057,0.20516657829284668,3.557785749435425
MobileNetV2,7,0.2830306887626648,3.2686641216278076,0.23422855138778687,3.3826916217803955
MobileNetV2,8,0.28835317492485046,3.168724298477173,0.26368433237075806,3.242727518081665
MobileNetV2,9,0.30588603019714355,3.100299835205078,0.28518548607826233,3.1154234409332275
MobileNetV2,10,0.3102692663669586,3.0417017936706543,0.2924312949180603,3.043609857559204
MobileNetV2,11,0.3174702525138855,3.0023598670959473,0.31487753987312317,2.9329211711883545
MobileNetV2,12,0.31621789932250977,2.955726385116577,0.32795149087905884,2.8611738681793213
MobileNetV2,13,0.32905447483062744,2.913079023361206,0.34567221999168396,2.7771835327148438
MobileNetV2,14,0.34126487374305725,2.8858728408813477,0.3558320999145508,2.7136876583099365
MobileNetV2,15,0.3378209173679352,2.8679873943328857,0.36402300000190735,2.6657395362854004
MobileNetV2,16,0.3437695801258087,2.841216564178467,0.37741199135780334,2.616971731185913
MobileNetV2,17,0.34502190351486206,2.825463056564331,0.3848153054714203,2.5735013484954834
MobileNetV2,18,0.3509705662727356,2.8031089305877686,0.39253365993499756,2.5393545627593994
MobileNetV2,19,0.3541014492511749,2.78446364402771,0.4048200249671936,2.489107847213745
MobileNetV2,20,0.35973700881004333,2.767094373703003,0.41049066185951233,2.4506189823150635
MobileNetV2,21,0.35785847902297974,2.752376079559326,0.41442859172821045,2.411206007003784
MobileNetV2,22,0.3619286119937897,2.7373411655426025,0.4265574514865875,2.3675711154937744
MobileNetV2,23,0.35973700881004333,2.7412056922912598,0.4307316541671753,2.3320844173431396
MobileNetV2,24,0.36067625880241394,2.7262802124023438,0.43718987703323364,2.298444986343384
MobileNetV2,25,0.36631184816360474,2.712249517440796,0.44286051392555237,2.265259265899658
MobileNetV2,26,0.36098936200141907,2.7061684131622314,0.4511301815509796,2.236867666244507
MobileNetV2,27,0.3669379949569702,2.7036032676696777,0.45530441403388977,2.2140021324157715
MobileNetV2,28,0.3666249215602875,2.690793752670288,0.4618413746356964,2.1850173473358154
MobileNetV2,29,0.3685034513473511,2.6882221698760986,0.46341654658317566,2.164389133453369
MobileNetV2,30,0.3688165247440338,2.677781105041504,0.47144994139671326,2.1271088123321533
MobileNetV2,31,0.36912962794303894,2.6751022338867188,0.47601795196533203,2.1050398349761963
MobileNetV2,32,0.365059494972229,2.6758320331573486,0.4797983765602112,2.0902488231658936
MobileNetV2,33,0.3694427013397217,2.668667793273926,0.4802709221839905,2.069018602371216
MobileNetV2,34,0.3694427013397217,2.6727700233459473,0.4912183880805969,2.043363571166992
MobileNetV2,35,0.3722604811191559,2.657428741455078,0.48665037751197815,2.024188756942749
MobileNetV2,36,0.3688165247440338,2.649446964263916,0.49602267146110535,2.007044792175293
MobileNetV2,37,0.37288665771484375,2.646712064743042,0.4985429644584656,1.980281949043274
MobileNetV2,38,0.37476518750190735,2.6424405574798584,0.5002756714820862,1.9664278030395508
MobileNetV2,39,0.371634304523468,2.6478030681610107,0.5082302689552307,1.9415544271469116
MobileNetV2,40,0.3744520843029022,2.6445322036743164,0.5134283900260925,1.918474555015564
MobileNetV2,41,0.37476518750190735,2.6380882263183594,0.5063400864601135,1.9286935329437256
MobileNetV2,42,0.372573584318161,2.638821601867676,0.5144522190093994,1.8973373174667358
MobileNetV2,43,0.3750782608985901,2.638575553894043,0.5231156945228577,1.8781684637069702
MobileNetV2,44,0.37570443749427795,2.635526418685913,0.5211467146873474,1.861999750137329
