ลำดับ,common_name_th,scientific_name,family
84,ปาล์มจีบ,Licuala grandis H. Wendl.,ARECACEAE
85,ปาล์มชวา,Saribus rotundifolius (Lam.) Blume,ARECACEAE
86,ประเดหวี,Dracaena fragrans (L.) Ker Gawl.,ASPARAGACEAE
87,ปาล์มน้ำมัน,Elaeis guineensis Jacq.,ARECACEAE
88,ปาล์มพัด,Pritchardia pacifica Seem. & H. Wendl.,ARECACEAE
89,ปาล์มสิบสองปันนา,Phoenix roebelenii O’Brien,ARECACEAE
90,ปาล์มสามทาง,Dypsis lutescens (H. Wendl.) Beentje & J. Dransf.,ARECACEAE
91,ปาล์มหางกระรอก,Wodyetia bifurcata A. K. Irvine,ARECACEAE
92,ปีบ,Millingtonia hortensis L. f.,BIGNONIACEAE
93,ปีปทอง,Radermachera hainanensis Merr.,BIGNONIACEAE
94,แปรงล้างขวด,Callistemon lanceolatus (Sm.) Sweet,MYRTACEAE
95,ฝรั่ง,Psidium guajava L.,MYRTACEAE
96,ผักหวานบ้าน,Breynia androgyna (L.) Chakrab. & N.P. Balakr.,PHYLLANTHACEAE
97,ฝ้าย,Gossypium herbaceum L.,MALVACEAE
98,ไผ่ฟิลิปปินส์,Dracaena surculosa Lindl.,ASPARAGACEAE
99,ไผ่,Bambusa sp.,POACEAE
100,ไผ่น้ำเต้า,Bambusa vulgaris‘Wamin’,POACEAE
101,พยับหมอก,Plumbago auriculata Lam.,PLUMBAGINACEAE
102,พลับพลึงตีนเป็ด,Hymenocallis littoralis (Jacq.) Salisb.,AMARYLLIDACEAE
103,พวงทองต้น,Galphimia gracilis Bartl.,MALPIGHIACEAE
104,พะยูง,Dalbergia cochinchinensis Pierre,FABACEAE
105,พะยอม,Shorea roxbughii G.Don,DIPTEROCARPACEAE
106,พิกุล,Mimusops elengi L.,SAPOTACEAE
107,พิลังกาสา,Ardisia ionantha K. Larsen & C. M. Hu,PRIMULACEAE
